Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1990-0248-AFG,1990,0248,,Natural,Meteorological,Extreme temperature,Cold wave,,,Afghanistan,AFG,Southern Asia,Asia,,,,,,,,,,°C,,,,,1990,12,26,1990,12,26,144,,,,,,,,,,,48.21879729,,,,
1990-0424-BGD,1990,0424,,Natural,Meteorological,Extreme temperature,Cold wave,,,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,°C,,,,,1990,12,29,1990,12,29,67,,,,,,,,,,,48.21879729,,,,
1990-0706-BGD,1990,0706,,Natural,Meteorological,Extreme temperature,Cold wave,,,Bangladesh,BGD,Southern Asia,Asia,,,,,,No,No,,,°C,,,,,1990,1,1,1990,1,1,50,,,,,,,,,,,48.21879729,,,,
1990-0641-BLZ,1990,0641,,Natural,Meteorological,Extreme temperature,Cold wave,,,Belize,BLZ,Central America,Americas,,,,,,,,,,°C,,,,,1990,,,1990,,,,,,,,,,,,2250,4666,48.21879729,,,,
1991-0009-AFG,1991,0009,,Natural,Meteorological,Extreme temperature,Cold wave,,,Afghanistan,AFG,Southern Asia,Asia,East and South Afghan Provinces,,,,,,,,-15,°C,,,,,1991,1,3,1991,1,3,80,,200,,200,,,,,,,50.26085283,,,,
1991-0433-BGD,1991,0433,,Natural,Meteorological,Extreme temperature,Cold wave,,,Bangladesh,BGD,Southern Asia,Asia,West and North Bangladesh,,,,,No,No,,-7,°C,,,,,1991,12,24,1992,1,6,182,,,,,,,,,,,50.26085283,,,,
1992-0504-CAN,1992,0504,,Natural,Meteorological,Extreme temperature,Cold wave,,,Canada,CAN,Northern America,Americas,Ontario,,,,,No,No,,,°C,,,,,1992,12,,1993,4,,,,,,,,,,,2000000,3862259,51.78316204,,,,
1993-0515-AUS,1993,0515,,Natural,Meteorological,Extreme temperature,Heat wave,,,Australia,AUS,Australia and New Zealand,Oceania,South-east Australia,,,,,,,,,°C,,,,,1993,2,,1993,2,,17,500,3000000,,3000500,,,,,,,53.31162038,,,,
1990-0356-MEX,1990,0356,,Natural,Meteorological,Extreme temperature,Heat wave,,,Mexico,MEX,Central America,Americas,North,,Drought,,,No,No,,,°C,,,,,1990,4,30,1990,6,6,380,,,,,,,,,,,48.21879729,,,,
1990-0085-FRA,1990,0085,,Natural,Meteorological,Extreme temperature,Heat wave,,,France,FRA,Western Europe,Europe,Southwestern,,,,,,,,40,°C,,,,,1990,7,24,1990,7,24,5,,,,,,,,,,,48.21879729,,,,
