,Title,Directors,Actors,Roles
0,Amsterdam,David O. Russell,Christian Bale,Burt Berendsen
1,Amsterdam,David O. Russell,John David Washington,Harold Woodman
2,Amsterdam,David O. Russell,Andrea Riseborough,Beatrice Vandenheuvel
3,Amsterdam,David O. Russell,Chris Rock,Milton King
4,Amsterdam,David O. Russell,Michael Shannon,Henry Norcross
5,Amsterdam,David O. Russell,Taylor Swift,Liz Meekins
6,Amsterdam,David O. Russell,Zoe Saldana,"Irma St. Clair 
  
  
  (as Zoe Saldaña)"
7,Amsterdam,David O. Russell,Robert De Niro,General Gil Dillenbeck
8,Amsterdam,David O. Russell,Vaughn Page,"Patient Victor 
  
  
  (as Vaughn W. Page)"
9,Amsterdam,David O. Russell,Max Perlich,Morty Baum
10,Amsterdam,David O. Russell,Ed Begley Jr.,General Bill Meekins
11,Amsterdam,David O. Russell,Gabe Doppelt,"Mrs. Minter 
  
  
  (as Gabé Doppelt)"
12,Amsterdam,David O. Russell,Brandon Davis,Angry Pedestrian
13,Amsterdam,David O. Russell,Dey Young,Alvelia Vandenheuvel
14,Amsterdam,David O. Russell,Gigi Bermingham,Belgian Nurse
15,Amsterdam,David O. Russell,Casey Graf,Eli Bepp
16,Amsterdam,David O. Russell,Daniel Riordan,Carlton
17,Amsterdam,David O. Russell,Floyd Armstrong,Fred Hinson
18,Amsterdam,David O. Russell,Baxter Humby,Pinched Nerve Guy
19,Amsterdam,David O. Russell,John Pirkis,British Ornithologist
20,Amsterdam,David O. Russell,Kindsey Vaughn,Sterilization Woman
21,Amsterdam,David O. Russell,Christopher Gehrman,Maguire
22,Amsterdam,David O. Russell,Tom Irwin,Mr. Belport
23,Amsterdam,David O. Russell,David Babbitt,Mr. Jeffers
24,Amsterdam,David O. Russell,Martin Harris,Bund Chanter #2
25,Amsterdam,David O. Russell,Donovan Hurst,Bund Chanter #4
26,Amsterdam,David O. Russell,Kawan DeBose,"Veteran Singer #2 
  
  
  (as Kawan Debose)"
27,Amsterdam,David O. Russell,Alef Orixa,"Albert 
  
  
  (uncredited)"
28,Amsterdam,David O. Russell,Homer Aguilar,"Patient 
  
  
  (uncredited)"
29,Amsterdam,David O. Russell,Chase Arrington,"Patient 
  
  
  (uncredited)"
30,Amsterdam,David O. Russell,Andrew Constantini,"Hotel Doorman 
  
  
  (uncredited)"
31,Amsterdam,David O. Russell,Timothy Donovan,"Timothy 
  
  
  (uncredited)"
32,Amsterdam,David O. Russell,Adolf Hitler,"Self 
  
  
  (archive footage) (uncredited)"
33,Amsterdam,David O. Russell,James Hunter,"Gala Veteran 
  
  
  (uncredited)"
34,Amsterdam,David O. Russell,Benito Mussolini,"Self 
  
  
  (archive footage) (uncredited)"
35,Amsterdam,David O. Russell,Stefan Sharpe,"Stagehand 
  
  
  (uncredited)"
36,Amsterdam,David O. Russell,Kalina Vanska,"Dancing Nurse 
  
  
  (uncredited)"
37,Amsterdam,David O. Russell,Mark Winn,"Hospital Patient 
  
  
  (uncredited)"
38,Amsterdam,David O. Russell,Margot Robbie,Valerie Voze
39,Amsterdam,David O. Russell,Alessandro Nivola,Detective Hiltz
40,Amsterdam,David O. Russell,Anya Taylor-Joy,Libby Voze
41,Amsterdam,David O. Russell,Matthias Schoenaerts,Detective Lem Getweiler
42,Amsterdam,David O. Russell,Mike Myers,Paul Canterbury
43,Amsterdam,David O. Russell,Timothy Olyphant,Taron Milfax
44,Amsterdam,David O. Russell,Rami Malek,Tom Voze
45,Amsterdam,David O. Russell,Mel Fair,Patient Wayne
46,Amsterdam,David O. Russell,Bonnie Hellman,Shirley Pratt
47,Amsterdam,David O. Russell,Jessica Drake,Assistant Mortician
48,Amsterdam,David O. Russell,Colleen Camp,Eva Ott
49,Amsterdam,David O. Russell,Lauren Shaw,Angry Theater Patron
50,Amsterdam,David O. Russell,Casey Biggs,Augustus Vandenheuvel
51,Amsterdam,David O. Russell,Sean Avery,Battalion Leader
52,Amsterdam,David O. Russell,André Tardieu,Church Official
53,Amsterdam,David O. Russell,Rebecca Wisocky,Mrs. Moran
54,Amsterdam,David O. Russell,Steven Hack,Dr. Malin
55,Amsterdam,David O. Russell,Leonard Tucker,"Larry Hinson 
  
  
  (as Leonard A. Tucker Jr.)"
56,Amsterdam,David O. Russell,Richard Harrington,"Waldorf Bellman 
  
  
  (as Richie Harrington)"
57,Amsterdam,David O. Russell,Shedell,"Crying Patient 
  
  
  (as Shedell Zurak)"
58,Amsterdam,David O. Russell,Beth Grant,Mrs. Dillenbeck
59,Amsterdam,David O. Russell,Shiree Nelson,Voze Secretary
60,Amsterdam,David O. Russell,Leland Orser,Mr. Nevins
61,Amsterdam,David O. Russell,Mike Azevedo,Gala Announcer
62,Amsterdam,David O. Russell,Christopher Kager,Bund Chanter #3
63,Amsterdam,David O. Russell,Jarrett Johnson,Veteran Singer #1
64,Amsterdam,David O. Russell,Deon Sams,Singing Soldier
65,Amsterdam,David O. Russell,Dalila Ali Rajah,"Dorothy 
  
  
  (uncredited)"
66,Amsterdam,David O. Russell,Vincent M. Biscione,"Police Officer 
  
  
  (uncredited)"
67,Amsterdam,David O. Russell,Raphael Corkhill,"French Officer 
  
  
  (uncredited)"
68,Amsterdam,David O. Russell,Susan Gray,"Demon Woman 
  
  
  (uncredited)"
