,movie,year,imdb,votes,URL
0,Amsterdam,(2022),6.1,30949,https://www.imdb.com/title/tt10304142/
1,The Batman,(2022),7.8,630956,https://www.imdb.com/title/tt1877830/
2,Enola Holmes 2,(2022),6.8,59022,https://www.imdb.com/title/tt14641788/
3,Scream,(I) (2022),6.3,112710,https://www.imdb.com/title/tt11245972/
4,Black Panther,(2018),7.3,769588,https://www.imdb.com/title/tt1825683/
5,The Babysitter: Killer Queen,(2020),5.8,41456,https://www.imdb.com/title/tt11024272/
6,The Wolf of Wall Street,(2013),8.2,1402505,https://www.imdb.com/title/tt0993846/
7,Dune,(2021),8.0,629281,https://www.imdb.com/title/tt1160419/
8,Once Upon a Time in Hollywood,(2019),7.6,733460,https://www.imdb.com/title/tt7131622/
9,Enola Holmes,(2020),6.6,190722,https://www.imdb.com/title/tt7846844/
10,Jurassic World: Dominion,(2022),5.7,152019,https://www.imdb.com/title/tt8041270/
11,The Gray Man,(2022),6.5,192635,https://www.imdb.com/title/tt1649418/
12,Blade Runner 2049,(2017),8.0,571365,https://www.imdb.com/title/tt1856101/
13,Warriors of Future,(2022),5.7,3376,https://www.imdb.com/title/tt7375466/
14,Inception,(2010),8.8,2341730,https://www.imdb.com/title/tt1375666/
15,The Gentlemen,(2019),7.8,339037,https://www.imdb.com/title/tt8367814/
16,The Princess Bride,(1987),8.0,428467,https://www.imdb.com/title/tt0093779/
17,Goodfellas,(1990),8.7,1157214,https://www.imdb.com/title/tt0099685/
18,Eyes Wide Shut,(1999),7.5,343167,https://www.imdb.com/title/tt0120663/
19,The Suicide Squad,(2021),7.2,350109,https://www.imdb.com/title/tt6334354/
20,Memory,(2022),5.7,23918,https://www.imdb.com/title/tt11827628/
21,The Grand Budapest Hotel,(2014),8.1,807946,https://www.imdb.com/title/tt2278388/
22,Promising Young Woman,(2020),7.5,173739,https://www.imdb.com/title/tt9620292/
23,The Invitation,(II) (2022),5.2,14454,https://www.imdb.com/title/tt12873562/
24,The King's Man,(2021),6.3,146654,https://www.imdb.com/title/tt6856242/
25,The Hateful Eight,(2015),7.8,600449,https://www.imdb.com/title/tt3460252/
26,Ponniyin Selvan: Part I,(2022),7.9,29372,https://www.imdb.com/title/tt10701074/
27,Suspiria,(I) (2018),6.7,79734,https://www.imdb.com/title/tt1034415/
28,Iron Man 3,(2013),7.1,849771,https://www.imdb.com/title/tt1300854/
29,The Irishman,(2019),7.8,388177,https://www.imdb.com/title/tt1302006/
30,Mulholland Drive,(2001),7.9,357051,https://www.imdb.com/title/tt0166924/
31,The Witch,(2015),6.9,264260,https://www.imdb.com/title/tt4263482/
32,Harry Potter and the Deathly Hallows: Part 1,(2010),7.7,548816,https://www.imdb.com/title/tt0926084/
33,The Dark Knight Rises,(2012),8.4,1700031,https://www.imdb.com/title/tt1345836/
34,Black Widow,(2021),6.7,377226,https://www.imdb.com/title/tt3480822/
35,Valerian and the City of a Thousand Planets,(2017),6.4,182964,https://www.imdb.com/title/tt2239822/
36,Oldboy,(2003),8.4,579133,https://www.imdb.com/title/tt0364569/
37,Aquaman,(2018),6.8,474796,https://www.imdb.com/title/tt1477834/
38,Zootopia,(2016),8.0,499361,https://www.imdb.com/title/tt2948356/
39,Iron Man,(2008),7.9,1057437,https://www.imdb.com/title/tt0371746/
40,Captain America: The First Avenger,(2011),6.9,844885,https://www.imdb.com/title/tt0458339/
41,Once Upon a Time in America,(1984),8.3,352631,https://www.imdb.com/title/tt0087843/
42,Logan,(2017),8.1,761945,https://www.imdb.com/title/tt3315342/
43,Red Notice,(2021),6.3,275835,https://www.imdb.com/title/tt7991608/
44,Wind River,(2017),7.7,253113,https://www.imdb.com/title/tt5362988/
45,Basic Instinct,(1992),7.0,202027,https://www.imdb.com/title/tt0103772/
46,Divergent,(2014),6.6,461937,https://www.imdb.com/title/tt1840309/
47,Murder on the Orient Express,(2017),6.5,259285,https://www.imdb.com/title/tt3402236/
48,Snowpiercer,(2013),7.1,362547,https://www.imdb.com/title/tt1706620/
49,Watchmen,(2009),7.6,553244,https://www.imdb.com/title/tt0409459/
50,Transformers: Age of Extinction,(2014),5.6,315463,https://www.imdb.com/title/tt2109248/
51,Body Heat,(1981),7.4,36467,https://www.imdb.com/title/tt0082089/
52,Batman Begins,(2005),8.2,1467109,https://www.imdb.com/title/tt0372784/
53,The Equalizer 2,(2018),6.7,161365,https://www.imdb.com/title/tt3766354/
54,Sicario,(2015),7.6,430678,https://www.imdb.com/title/tt3397884/
55,The Bodyguard,(1992),6.3,136516,https://www.imdb.com/title/tt0103855/
56,V for Vendetta,(2005),8.2,1121326,https://www.imdb.com/title/tt0434409/
57,Scream,(1996),7.4,345047,https://www.imdb.com/title/tt0117571/
58,The Nice Guys,(2016),7.3,329561,https://www.imdb.com/title/tt3799694/
59,Sleepy Hollow,(1999),7.3,362938,https://www.imdb.com/title/tt0162661/
60,Training Day,(2001),7.7,438083,https://www.imdb.com/title/tt0139654/
61,The Sixth Sense,(1999),8.2,991275,https://www.imdb.com/title/tt0167404/
62,Inside Man,(2006),7.6,374902,https://www.imdb.com/title/tt0454848/
63,Blacklight,(2022),4.8,18315,https://www.imdb.com/title/tt14060094/
64,Godzilla vs. Kong,(2021),6.3,209615,https://www.imdb.com/title/tt5034838/
65,Hitman,(I) (2007),6.2,171322,https://www.imdb.com/title/tt0465494/
66,The Hunger Games: Catching Fire,(2013),7.5,666052,https://www.imdb.com/title/tt1951264/
67,Sherlock Holmes,(2009),7.6,635456,https://www.imdb.com/title/tt0988045/
68,A Beautiful Mind,(2001),8.2,931816,https://www.imdb.com/title/tt0268978/
69,Red Sparrow,(2018),6.6,187529,https://www.imdb.com/title/tt2873282/
70,Baywatch,(2017),5.5,187825,https://www.imdb.com/title/tt1469304/
71,The Game,(1997),7.7,397981,https://www.imdb.com/title/tt0119174/
72,RED,(2010),7.0,310437,https://www.imdb.com/title/tt1245526/
73,Angel Has Fallen,(2019),6.4,98810,https://www.imdb.com/title/tt6189022/
74,The Count of Monte Cristo,(2002),7.7,139184,https://www.imdb.com/title/tt0245844/
75,Oldboy,(2013),5.8,76892,https://www.imdb.com/title/tt1321511/
76,Polar,(I) (2019),6.3,91009,https://www.imdb.com/title/tt4139588/
77,Minority Report,(2002),7.6,553046,https://www.imdb.com/title/tt0181689/
78,Batman v Superman: Dawn of Justice,(2016),6.4,700114,https://www.imdb.com/title/tt2975590/
